,cmpdname,isosmiles,target
0,Ipidacrine,C1CCC2=C(C1)C(=C3CCCC3=N2)N,1
1,Leucovorin calcium,C1C(N(C2=C(N1)N=C(NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-],1
2,pirandamine,C1=CC=CC2=C1C3=C(C2)CCOC3(CCN(C)C)C,0
3,testosterone,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O,0
4,camphor,CC12C(C(CC1=O)CC2)(C)C,0
5,36,CN(CCC=C1c2ccccc2CCc2ccccc12)C,0
6,tetrabenazine(tetrabenzine),C1=C(OC)C(=CC3=C1C2N(CC(CC(C)C)C(C2)=O)CC3)OC,0
7,isocarboxazid,C1=C(C)ON=C1C(NNCC2=CC=CC=C2)=O,0
8,Dichloromethane,ClCCl,0
9,skb-i,c1cc2c(C(N[C@@H](CC)c3ccccc3)=O)c(c(nc2cc1)c1ccccc1)Cn1cncc1,0
10,2-(methylamino)-N-(4-methylpyridin-2-yl)acetamide,CC1=CC(=NC=C1)NC(=O)CNC,1
11,Ceftriaxone sodium,CN1C(=NC(=O)C(=N1)[O-])SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)/C(=N\\OC)/C4=CSC(=N4)N)SC2)C(=O)[O-].[Na+].[Na+],1
12,dioxamate,C(C1(OC(COC(N)=O)CO1)C)CCCCCCCC,0
13,1-(3-Fluoro-4-methylphenyl)methanesulfonamide,CC1=C(C=C(C=C1)CS(=O)(=O)N)F,1
14,Anthranilate,C1=CC=C(C(=C1)C(=O)[O-])N,1
15,fluotracen,[C@@H]1(C3=C([C@H](C2=C1C=CC=C2)C)C=CC(=C3)C(F)(F)F)CCCN(C)C,0
16,Divinylether,C=COC=C,0
17,N-acetyl-D-glucosamine 6-phosphate(2-),CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](OC1O)COP(=O)([O-])[O-])O)O,1
18,Deoxyuridine-phosphate,C1[C@@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)COP(=O)([O-])[O-])O,1
19,Fumarate(1-),C(=C/C(=O)[O-])\\C(=O)O,1
20,Ventolin,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O.OS(=O)(=O)O,1
21,Cytidine-monophosphate,C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])[O-])O)O,1
22,stearoyl-CoA(4-),CCCCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O,1
23,"1,3-Benzodioxole-4-carboxylic acid",C1OC2=CC=CC(=C2O1)C(=O)O,1
24,enkephalin,CC(C)[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc2ccc(O)cc2)C(N)=O,0
25,cloticasone(cloticasone-propionate),[C@]34([C@H](C2[C@@](F)([C@@]1(C(=CC(=O)C=C1)[C@@H](F)C2)C)[C@@H](O)C3)C[C@H]([C@]4(OC(=O)CC)C(SCCl)=O)C)C,0
26,5-Methyltetrahydrofolate,CN1C(CNC2=C1C(=O)NC(=N2)N)CNC3=CC=C(C=C3)C(=O)N[C@H](CCC(=O)O)C(=O)O,1
27,Hydroxychloroquine sulfate,CCN(CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl)CCO.OS(=O)(=O)O,1
28,Lufotrelvir,CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)COP(=O)(O)O)NC(=O)C2=CC3=C(N2)C=CC=C3OC,1
29,norlevorphanol,C1=C(O)C=CC3=C1C24C(C(NCC2)C3)CCCC4,0
30,dopamine,NCCc1ccc(O)c(O)c1,0
31,"N-(5-tert-butyl-1,2-oxazol-3-yl)-N-[(1R)-2-(4-methoxy-2-methylanilino)-2-oxo-1-pyridin-3-ylethyl]propanamide",CCC(=O)N(C1=NOC(=C1)C(C)(C)C)[C@H](C2=CN=CC=C2)C(=O)NC3=C(C=C(C=C3)OC)C,1
32,piflutixol,OCC[C@@H]1CCN(CC\C=C2/c3ccc(F)cc3Sc4ccc(cc24)C(F)(F)F)CC1,0
33,Cytosine,C1=C(NC(=O)N=C1)N,1
34,Enisamium iodide,C[N+]1=CC=C(C=C1)C(=O)NCC2=CC=CC=C2.[I-],1
35,halopredone(halopredone-acetate),[C@]34([C@H]([C@H]2C([C@@]1(C(=CC(C(=C1)Br)=O)[C@@H](C2)F)C)([C@H](C3)O)F)CCC4(C(=O)CO)O)C,0
36,Cromoglicicacid,OC(COc1ccc2OC(=CC(=O)c2c1)C(O)=O)COc3cccc4OC(=CC(=O)c34)C(O)=O,0
37,2-Acetamido-5-oxopentanoate,CC(=O)N[C@@H](CCC=O)C(=O)[O-],1
38,Adenosine diphosphate ribose,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OC[C@@H]4[C@H]([C@H]([C@@H](O4)O)O)O)O)O)N,1
39,Histaminium,C1=C(NC=N1)CC[NH3+],1
40,estradiol,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O,0
41,alfadolone,[C@@H]12C4([C@@H](CCC1[C@H]3C(CC2=O)(C(CC3)C(=O)CO)C)C[C@H](O)CC4)C,0
42,19,CNC(=NC#N)Nc1cccc(c1)c1csc(n1)N=C(N)N,0
43,venlafaxine,C1=CC(=CC=C1C(C2(CCCCC2)O)CN(C)C)OC,0
44,"N-(cyclobutylmethyl)-1,5-dimethyl-1H-pyrazole-4-carboxamide",CC1=C(C=NN1C)C(=O)NCC2CCC2,1
45,pivampicillin,CC(C)(C)C(=O)OCOC(=O)[C@@H]1N2[C@H](SC1(C)C)[C@H](NC(=O)[C@H](N)c3ccccc3)C2=O,0
46,2-(Trimethylazaniumyl)ethyl phosphate,C[N+](C)(C)CCOP(=O)([O-])[O-],1
47,Bardoxolone methyl,C[C@@]12CC[C@]3(CCC(C[C@H]3[C@H]1C(=O)C=C4[C@]2(CC[C@@H]5[C@@]4(C=C(C(=O)C5(C)C)C#N)C)C)(C)C)C(=O)OC,1
48,Phenylalanine,C1=CC=C(C=C1)C[C@@H](C(=O)O)N,1
49,pipamperone,NC(=O)C1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)N3CCCCC3,0
50,Biotinate,C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)[O-])NC(=O)N2,1
51,thromboxane A2(1-),CCCCC[C@@H](/C=C/[C@@H]1[C@H]([C@@H]2C[C@@H](O2)O1)C/C=C\\CCCC(=O)[O-])O,1
52,Acetyl-L-carnitine,CC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C,1
53,8-[(Aminomethyl)sulfanyl]-6-sulfanyloctanamide,C(CCC(=O)N)CC(CCSCN)S,1
54,Angiotensin I,CC[C@H](C)[C@@H](C(=O)N[C@@H](CC1=CN=CN1)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC3=CC=CC=C3)C(=O)N[C@@H](CC4=CN=CN4)C(=O)N[C@@H](CC(C)C)C(=O)O)NC(=O)[C@H](CC5=CC=C(C=C5)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(=O)O)N,1
55,nalmefene,[C@@]126C3=C4C[C@H]([C@@]1(CCC([C@@H]2OC3=C(C=C4)O)=C)O)N(CC5CC5)CC6,0
56,cicortonide,[C@H]23C([C@@]1(OC(O[C@@H]1C2)(C)C)C(=O)COC(=O)C)(CC(O)[C@@]4(F)C3CC(=C5C4(CCC(=C5)OCCCl)C)C#N)C,0
57,Histamine,C1=C(NC=N1)CCN,1
58,2-Amino-4-methylpyridine,CC1=CC(=NC=C1)N,1
59,TetraCycline,CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)c4c(O)cccc4[C@@]3(C)O)C(=O)[C@]2(O)C(=O)\C(=C(N)/O)C1=O,0
60,Ruxolitinib,C1CCC(C1)[C@@H](CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3,1
61,Prednisolone,C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C)O,1
62,rifamexil,CCN(CC)c1sc2c3NC(=O)C(=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@H](C)[C@@H](OC)/C=C/O[C@@]4(C)Oc5c(C)c(O)c(c3O)c(c2n1)c5C4=O)/C,0
63,Acetylcysteine,CC(=O)N[C@@H](CS)C(=O)O,1
