,cmpdname,isosmiles,target
0,unnamed,O=C1OCCC1=Cc1ccc(O)cc1,0
1,unnamed,Oc1cc(SCc2ccccc2Cl)nc(O)n1,0
2,N-[(4-phenyloxan-4-yl)methyl]acetamide,CC(=O)NCC1(CCOCC1)C2=CC=CC=C2,1
3,unnamed,CN(C)c1ccc(C=C2SC(=S)NC2=O)cc1,0
4,unnamed,COc1ccc(C2CC(=O)c3cc(OC)ccc3O2)cc1,0
5,unnamed,O=C(O)c1ccc(S(=O)(=O)O)o1,0
6,unnamed,CC(C)N1CSC(=S)NCCNC(=S)SC1,0
7,unnamed,Cc1cccc2c(=O)c3ccccc3oc12,0
8,"2,5-Dimethylpyrimidin-4-amine",CC1=CN=C(N=C1N)C,1
9,unnamed,O=C(Nc1cccc(C2=NCCN2)c1)Nc1cccc(C2=NCCN2)c1,0
10,unnamed,O=C1C=CC(=O)c2c(O)ccc(O)c21,0
11,2'-Deoxyguanosine-5'-diphosphate,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2N=C(NC3=O)N)COP(=O)(O)OP(=O)(O)O)O,1
12,unnamed,OCCN(CCO)c1nc(N(CCO)CCO)nc(N(CCO)CCO)n1,0
13,Hydantoin,C1C(=O)NC(=O)N1,1
14,unnamed,CCCCCCCCS(=O)(=O)O,0
15,Naltrexone,C1CC1CN2CC[C@]34[C@@H]5C(=O)CC[C@]3([C@H]2CC6=C4C(=C(C=C6)O)O5)O,1
16,2-Oxoglutarate(1-),C(CC(=O)O)C(=O)C(=O)[O-],1
17,Doxazosin,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4COC5=CC=CC=C5O4)N)OC,1
18,Zinc sulfate,[O-]S(=O)(=O)[O-].[Zn+2],1
19,10-Formyltetrahydropteroylglutamic acid,C1C(NC2=C(N1)N=C(NC2=O)N)CN(C=O)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,1
20,S-adenosylmethionine,C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)O,1
21,unnamed,CC1C(=O)NC(=O)CC(=O)NC1=O,0
22,Triglyme,COCCOCCOCCOC,1
23,unnamed,OC(CNc1ccccn1)c1ccccc1,0
24,"(2S)-2-amino-4-(1,3-benzothiazol-2-yl)butanoic acid",C1=CC=C2C(=C1)N=C(S2)CC[C@@H](C(=O)O)N,1
25,unnamed,C=CCNC(=S)Nc1ccc(Cl)cc1,0
26,L-lysinium(1+),C(CC[NH3+])C[C@@H](C(=O)O)N,1
27,5-Bromo-2-hydroxybenzonitrile,C1=CC(=C(C=C1Br)C#N)O,1
28,4-Methylzymosterol intermediate 1,C[C@@H](CCC=C(C)C)[C@@H]1CC[C@@H]2[C@@]1(CCC3=C2CC[C@H]4[C@@]3(CC[C@@H]([C@@]4(C)C(=O)O)O)C)C,1
